Unnamed: 0,Symbol,MACD,RSI
0,MMM,1.0,48.732289336316185
1,ABT,1.0,73.48180845371857
2,ABBV,-1.0,37.576642335766415
3,ABMD,1.0,58.88434882723435
4,ACN,1.0,65.61847209788122
5,ATVI,1.0,48.10924369747899
6,ADBE,1.0,50.23505708529215
7,AMD,1.0,72.38537434706907
8,AAP,-1.0,43.631621702509726
9,AES,1.0,50.55878408582923
10,AMG,1.0,54.315698262167246
11,AFL,1.0,67.01816051552431
12,A,1.0,57.82664941785252
13,APD,1.0,65.66740764263787
14,AKAM,1.0,57.24832214765102
15,ALK,1.0,42.231647634584014
16,ALB,1.0,60.26462588170209
17,ARE,1.0,63.8365600375724
18,ALXN,-1.0,26.877740581828462
19,ALGN,1.0,45.86231939454171
20,ALLE,1.0,64.34741073916331
21,AGN,-1.0,29.889791577089326
22,ADS,-1.0,36.625403659849304
23,LNT,1.0,56.02864583333334
24,ALL,1.0,72.63067581837382
25,GOOGL,-1.0,31.218591683383778
26,GOOG,-1.0,31.899726262281916
27,MO,-1.0,44.1531798495555
28,AMZN,1.0,49.51692574524088
29,AEE,1.0,56.22382308594403
30,AAL,1.0,45.39479089639307
31,AEP,1.0,63.44481817604874
32,AXP,1.0,60.83142639206713
33,AIG,-1.0,56.88906435057244
34,AMT,1.0,62.98550492512213
35,AWK,1.0,64.47305674773486
36,AMP,1.0,62.143059089623975
37,ABC,1.0,70.87042315281735
38,AME,1.0,52.154129708558926
39,AMGN,1.0,63.27951306629733
40,APH,1.0,57.16265760529375
41,APC,-1.0,23.517186250999202
42,ADI,1.0,61.050143966969095
43,ANSS,1.0,59.34616014707756
44,ANTM,1.0,73.35538923967643
45,AON,1.0,71.3159342338488
46,AOS,1.0,52.74189114898296
47,APA,1.0,41.82115594329335
48,AIV,1.0,56.398809523809526
49,AAPL,1.0,54.35321469477067
50,AMAT,1.0,52.73766168529448
51,APTV,1.0,54.53791832975131
52,ADM,1.0,44.638276038994356
53,ARNC,1.0,72.90036515388627
54,ANET,-1.0,50.104058272632685
55,AJG,1.0,77.59659038265542
56,AIZ,1.0,83.58165690764682
57,ATO,1.0,51.17376500806404
58,T,1.0,50.702609693145966
59,ADSK,-1.0,38.72461963785496
60,ADP,1.0,61.906614785992204
61,AZO,1.0,75.93554244212437
62,AVB,1.0,63.46713776294697
63,AVY,1.0,80.40393013100437
64,BHGE,1.0,54.636274095961724
65,BLL,1.0,70.6455043769942
66,BAC,1.0,47.26850587271237
67,BK,1.0,42.696854337808055
68,BAX,1.0,62.06044175105654
69,BBT,1.0,61.16980407222435
70,BDX,1.0,68.82313413814677
71,BMS,1.0,45.55564445155612
72,BRK.B,1.0,59.85529407377019
73,BBY,-1.0,38.17618286599834
74,BIIB,1.0,48.88238424693986
75,BLK,1.0,51.81472401072336
76,HRB,1.0,48.687643898695306
77,BA,1.0,48.28675543485791
78,BKNG,1.0,48.55543401325525
79,BWA,1.0,67.9562092820203
80,BXP,1.0,53.470624544077225
81,BSX,1.0,89.06004849522179
82,BMY,-1.0,44.983099092688136
83,AVGO,1.0,44.23541928619789
84,BR,1.0,82.8289382212541
85,BF.B,1.0,71.7693711839869
86,CHRW,-1.0,39.385858585858585
87,COG,-1.0,31.67512690355329
88,CDNS,1.0,45.442378471392374
89,CPB,1.0,61.270328321571036
90,COF,-1.0,49.66976622925176
91,CPRI,-1.0,30.01538123489341
92,CAH,-1.0,45.44963907441138
93,KMX,1.0,79.91625758013284
94,CCL,1.0,47.7848646785037
95,CAT,1.0,59.876166799568466
96,CBOE,1.0,69.08762519840184
97,CBRE,1.0,64.60844608446084
98,CBS,1.0,46.592244418331376
99,CE,1.0,52.87563750490388
100,CELG,-1.0,49.20159680638722
101,CNC,-1.0,47.158211331770524
102,CNP,1.0,35.222778803058276
103,CTL,1.0,46.19589977220957
104,CERN,1.0,72.22793013514581
105,CF,1.0,47.51530428519985
106,SCHW,1.0,50.08074645612776
107,CHTR,1.0,59.65932380937923
108,CVX,1.0,54.949454104326726
109,CMG,1.0,51.22742010189903
110,CB,1.0,64.13212504691941
111,CHD,1.0,64.48845310282545
112,CI,1.0,53.296737766624844
113,XEC,-1.0,24.611610793131646
114,CINF,1.0,77.625334368798
115,CTAS,1.0,71.00358617691805
116,CSCO,1.0,50.51091965537969
117,C,1.0,58.69928057553957
118,CFG,1.0,48.62098379300541
119,CTXS,1.0,51.16930022573363
120,CLX,1.0,69.84088424632577
121,CME,1.0,92.70819585587964
122,CMS,1.0,56.56536420646406
123,KO,1.0,67.30287486579984
124,CTSH,1.0,70.08639308855291
125,CL,1.0,54.45799560639345
126,CMCSA,-1.0,26.91342534504392
127,CMA,-1.0,38.06117957746478
128,CAG,1.0,51.56576200417537
129,CXO,-1.0,28.60589224358506
130,COP,-1.0,38.676274676032456
131,ED,1.0,50.89291388624086
132,STZ,-1.0,39.01234567901235
133,COO,1.0,78.036949260599
134,CPRT,1.0,81.09823123813331
135,GLW,1.0,61.03652825476116
136,CTVA,-1.0,32.80331835464915
137,COST,1.0,63.653953128401085
138,COTY,1.0,50.596359070935335
139,CCI,1.0,68.22519083969465
140,CSX,1.0,51.450592142364805
141,CMI,1.0,55.844973794902934
142,CVS,1.0,62.1102336562729
143,DHI,1.0,55.62908064231515
144,DHR,1.0,75.40060158599945
145,DRI,1.0,47.729039077315264
146,DVA,1.0,45.554793737858525
147,DE,1.0,79.47527281170188
148,DAL,1.0,49.273935515628835
149,XRAY,1.0,74.25407166123779
150,DVN,-1.0,27.91660505692741
151,FANG,-1.0,26.23619006757481
152,DLR,-1.0,46.80206123067597
153,DFS,1.0,53.79810453762205
154,DISCA,1.0,53.67184719421046
155,DISCK,1.0,51.36326530612244
156,DISH,1.0,59.943449575871824
157,DG,1.0,79.61325315410919
158,DLTR,1.0,59.595833852027056
159,D,1.0,49.04236796285548
160,DOV,1.0,56.65056659855099
161,DOW,1.0,53.53775140125288
162,DD,-1.0,20.324936791834446
163,DTE,1.0,52.41306954436451
164,DRE,1.0,58.42696629213483
165,DUK,1.0,44.70709146968139
166,DXC,-1.0,33.17834044891575
167,ETFC,-1.0,42.66932933932434
168,EMN,1.0,52.487418529824275
169,ETN,1.0,52.43541595538864
170,EBAY,1.0,62.96465569774528
171,ECL,1.0,89.90001639075561
172,EIX,1.0,52.13969271373362
173,EW,1.0,71.0917570666598
174,EA,1.0,45.75332116098975
175,EMR,1.0,49.368345561869035
176,ETR,1.0,56.8547473374122
177,EOG,-1.0,34.045179607455864
178,EFX,1.0,70.56103366201972
